,min_variance,utility_ra2,utility_ra10,utility_ra50,max_sharpe,risk_parity,equal_weight,buy_and_hold_equal,nifty50
2025-06-24,0.9148172719932398,-0.1476557131121764,0.19330387946639388,0.5440781107650688,0.3712404372039231,0.13080210553522106,-0.046433615941022244,-0.13393100022831236,0.2715729165477525
2025-06-25,1.1569368183083084,0.1023003368346575,0.49702499466602507,0.8836940248681956,0.6635012919246264,0.44892039762964925,0.2553241823002154,0.1831076035132706,0.5924413506613778
2025-06-26,1.0885346742832473,0.05385088859778425,0.5086656379442229,0.8329335742750222,0.6631037419244091,0.4094943303234209,0.21745741251215284,0.14517976533739904,0.6584770292796078
2025-06-27,1.049366427776646,-0.03711465592449465,0.4798373669694046,0.8043063833682551,0.647407221892351,0.40799968560116656,0.23527955124735855,0.1657330488242812,0.7206337915214908
2025-06-30,1.0186448417486642,-0.1371307111399209,0.336832393577902,0.6573338310179134,0.5178336335936014,0.37376023775522926,0.21625644683544473,0.14814336778314577,0.6424574181050766
2025-07-01,0.8952014040203224,-0.12998642046306638,0.31610336275926393,0.6030895157645965,0.4995832644532344,0.3211359965246129,0.17251362652835348,0.10812446784567584,0.6195064264333373
2025-07-02,0.9737383910991134,-0.3051157232886797,0.10870310814927903,0.5123342126563346,0.31706981316617033,0.3027315066663259,0.1609978108303118,0.07439344008305772,0.6701664088132522
2025-07-03,0.959283921530272,-0.40145685046574153,0.07580145907047173,0.5443451937038638,0.2554160189431902,0.28943590370002786,0.14156583600937253,0.05495290208987714,0.6442094389683795
2025-07-04,0.9810830925977868,-0.44923051941637643,0.0824437423131822,0.5492295648340517,0.25026839387561195,0.3209393670691194,0.1816814701126211,0.08645169849398913,0.6177610705152214
2025-07-07,0.793191714941137,-0.4954881470683372,-0.006537751597262473,0.3712234519309812,0.15007222771122408,0.07265148632754696,-0.06742106464113314,-0.15632717383823722,0.36700445571239565
2025-07-08,0.7878678520448382,-0.3963372765923742,0.14205512708495388,0.47397197940749064,0.27986041706780124,0.07334367969423337,-0.08070012845696589,-0.14626281873168054,0.5075595664421545
2025-07-09,0.9961609995221399,-0.2582282139982534,0.2726318868221637,0.6714317797019517,0.408655444172706,0.26517699479698725,0.09927296931262622,0.030226165342423325,0.7176300089629004
2025-07-10,0.9255516737575443,-0.34712974541973224,0.19018620003260864,0.5988925479834204,0.3266383179053668,0.17425386888614725,-0.014183759233819064,-0.07451354404741309,0.5951318006044514
2025-07-11,0.869321758005225,-0.12975858591488304,0.45125692432828673,0.718971942037516,0.5688581094071633,0.16328983116588308,-0.048806333133144614,-0.08649131332929967,0.49027810784623826
2025-07-14,0.89963608270661,0.012518149279998277,0.556635489451777,0.7640977051475857,0.6712772329314468,0.23236942711598904,0.03566806335141212,0.0008271978143957125,0.5501627767547963
2025-07-15,1.0257259275002588,0.11305645775027982,0.7060500281300589,0.941516002186536,0.7954681412524034,0.3865812438138224,0.1963727017230445,0.1464301846949874,0.67105268908743
2025-07-16,1.1270808143509032,0.5378234252888917,1.1141176518605924,1.1742333439212,1.1706266878606117,0.6306187884425853,0.4571708673137411,0.4218920123073547,0.8988422590193065
2025-07-17,1.1689306391490542,0.4374418567874515,1.0276981172847701,1.0829342129791955,1.0685279841219932,0.5696918408892229,0.37317804787258435,0.33590137030960365,0.785730580557084
2025-07-18,1.1261704964570503,0.39187770954082557,0.9432786913499093,0.9914604422442013,1.0111305104067132,0.4848422024108435,0.27977787353215966,0.23881045817895052,0.6802615647779341
2025-07-21,1.2265941122602615,0.537883075017932,1.1215016918345184,1.117286845622374,1.1976536687412007,0.5338291258570526,0.30171814184803025,0.2843748997465345,0.6893388760593125
2025-07-22,1.1148428729125277,0.5578281240535625,1.1684146447207018,1.1715284245179598,1.244069973903769,0.46113100023103304,0.21444662993124214,0.2236503784702672,0.7396606669408228
2025-07-23,1.231067111703951,0.4426844220449041,1.1299933295078861,1.2692467582876155,1.2010226317580763,0.5003294553184042,0.21619343318067893,0.21731692456627333,0.7430344007622928
2025-07-24,1.143947576842865,0.3940379864112563,1.1157162092917012,1.2498200187538817,1.1242853095635694,0.4867247958769474,0.24090980760842645,0.2304036685644741,0.8562193702596944
2025-07-25,0.8762988801321097,0.3405430895886056,0.9736442512827334,0.9870827942464694,0.973631200799085,0.2493223934550061,0.03960291281551132,0.02965602038264885,0.6434392977114931
2025-07-28,0.8387917107898816,-0.1579144066694451,0.5637013865694841,0.8451920119738489,0.6112828877907852,0.10928589820881754,-0.11067983198993486,-0.15162324485164755,0.5213933128219403
2025-07-29,0.8801895175154022,-0.14785578315027909,0.5662859219867364,0.8971152362860569,0.6140249272513311,0.24055653997988657,0.04671772086729991,-0.007305758318221711,0.672255876614762
2025-07-30,1.0911864747433733,0.13188978558877265,0.9329489908835918,1.1352125837159406,0.9302860826253819,0.46621930196320616,0.25043068233286137,0.21845634485460272,0.8609117213492645
2025-07-31,1.1517235334385905,0.3831646294393766,1.231958175755486,1.2731465426082609,1.2068540843705426,0.5157855992167812,0.2753813965619615,0.2625719599034047,0.7302417003125038
2025-08-01,0.8423607124907871,-0.19498258205308883,0.6745282160292664,0.8171150777400659,0.6880980145743605,0.17879342699622852,-0.06098634592835705,-0.09774672610237721,0.48302912044315605
