,min_variance,utility_ra2,utility_ra10,utility_ra50,max_sharpe,risk_parity,equal_weight,buy_and_hold_equal,nifty50
2025-01-15,-0.017907922104193563,-0.0925211824500537,-0.12055101192252349,-0.07604386876057145,-0.10193093857719349,-0.08108664009693334,-0.08703033775537694,-0.08761934620167422,-0.11454248344100981
2025-01-16,-0.020767404816847024,-0.0938569458438997,-0.12178613665120175,-0.07707345942753496,-0.10278016578954563,-0.08200485965778237,-0.08672472225840078,-0.08774836523709717,-0.11078136917850157
2025-01-17,-0.016657949925405813,-0.09472706782604268,-0.12239732463277364,-0.0790402991086594,-0.10334393104061557,-0.08054438801741126,-0.08536522926091461,-0.08734285396511199,-0.11492392914705618
2025-01-20,-0.017432589750215,-0.0876923738898997,-0.11713224494231989,-0.07902346865104704,-0.09866590214685855,-0.07873897686521536,-0.08224214328267654,-0.08394821736068869,-0.10952453537752482
2025-01-21,-0.02325230075601048,-0.10559984832044245,-0.1304334705581428,-0.08553412305014996,-0.11090924180555417,-0.0877571624716098,-0.09321573420231188,-0.09505935449687053,-0.12173459752784443
2025-01-22,-0.014481952848073631,-0.10531965973641089,-0.12741597052985398,-0.0781444465195047,-0.10706432813734967,-0.08158992462811843,-0.08810985406599192,-0.09013025283564735,-0.11674913195026493
2025-01-23,-0.013711265153618202,-0.06960873771764142,-0.1023915664813635,-0.0706000478592661,-0.0848392256090933,-0.07564032944004606,-0.08086040769716796,-0.08129481709272679,-0.11484190342003331
2025-01-24,-0.01446070503783059,-0.06861574640717283,-0.1014557452525292,-0.07189774891619749,-0.08381770699606217,-0.0790936130002402,-0.08546867736536046,-0.0854017742054537,-0.11915797648417026
2025-01-27,-0.022390548805959254,-0.0898038568553966,-0.11894506581252207,-0.0799066518459498,-0.09983717704419481,-0.08946631359304391,-0.09690432427660578,-0.09748688802185224,-0.12919186108104996
2025-01-28,-0.025084725189485346,-0.10645335343388007,-0.13293867676435323,-0.08599578156404963,-0.11253999707471174,-0.09350070398480392,-0.10088384459979649,-0.1021406646870382,-0.12430555648681951
2025-01-29,-0.01920990760210195,-0.08306027893782453,-0.1136531088093925,-0.07696712177568388,-0.09455442592965757,-0.0851842247639053,-0.09195276537563168,-0.09211017254297149,-0.11645351152807892
2025-01-30,-0.012455008664033707,-0.0949632822215758,-0.12119168995438334,-0.07719121322690037,-0.10096030709732506,-0.08247789907703584,-0.08982468106929142,-0.09101210272692772,-0.11315780572761591
2025-01-31,0.0,-0.08759878744133553,-0.11477594764469112,-0.06719964131680267,-0.09437692293176358,-0.06784397923093832,-0.07499042412145462,-0.07723336879066611,-0.10328216149785385
2025-02-01,0.0,-0.08563066025690769,-0.11551899741196203,-0.06315488771030564,-0.0947337877416713,-0.06627364131370073,-0.07517151582598325,-0.0776449933907788,-0.10428345647622539
2025-02-03,-0.004079497866825266,-0.09047572143764471,-0.11871951256269331,-0.06660178300618214,-0.09773163827703624,-0.07358183574966581,-0.08422304714749917,-0.08542982297287782,-0.10890274907622344
2025-02-04,0.0,-0.08183356810323605,-0.11191822363645099,-0.057662439683006994,-0.09056099512033877,-0.06318130565476188,-0.0725592036688606,-0.07428791032768067,-0.09447650227399751
2025-02-05,0.0,-0.06728704368722727,-0.1017313001246325,-0.05202123359280342,-0.08092567227207925,-0.062468779005811714,-0.07222563846938956,-0.07364696028179252,-0.09611478178102062
2025-02-06,-0.002585345591777477,-0.06836087976943883,-0.10337462564315025,-0.053327799800421904,-0.08247930795625957,-0.06572329832770107,-0.0760945437968894,-0.07706999090898181,-0.09966036431938985
2025-02-07,-0.005598410495727402,-0.06879979434373451,-0.10369597681616216,-0.055591299847531306,-0.08276704842185323,-0.06778885024531511,-0.07815157932440575,-0.07900950766971337,-0.10131585358385387
2025-02-10,-0.008428918154567477,-0.08443021465606515,-0.10820754231969953,-0.057644763109953256,-0.08679959002891902,-0.07418099047967852,-0.08669924493726344,-0.08760276433679348,-0.10811892285096691
2025-02-11,-0.02102912200717999,-0.10514340857757443,-0.12244731753153715,-0.0702519931046045,-0.10109405844151376,-0.08852506147259853,-0.10174505816365487,-0.10260754256710514,-0.11993606612361318
2025-02-12,-0.023340131725521185,-0.11457145602582719,-0.12796642301125138,-0.07359790345968986,-0.10640573400090225,-0.09083763675975332,-0.10404049611509236,-0.1051833885957798,-0.12094883427361192
2025-02-13,-0.023029387813753743,-0.11051004917733276,-0.12346303575217443,-0.07044707458870492,-0.1016938901616753,-0.09097508670184251,-0.10524179827154423,-0.10606718249852809,-0.12147712167626312
2025-02-14,-0.02541981593278586,-0.13069661991325288,-0.13287582457546243,-0.07477929706396669,-0.11051039116332206,-0.09750826111638122,-0.11333826074263886,-0.11400234616748173,-0.12537360446374923
2025-02-17,-0.02351924065394928,-0.12344670344728792,-0.13055288008084232,-0.07448471911122467,-0.1085635584016208,-0.09460915062318132,-0.1092968250543952,-0.11032043639968425,-0.12421973120295904
2025-02-18,-0.024935296522650585,-0.11224664070794477,-0.1266932626797167,-0.07507816644028809,-0.10506970677732219,-0.09416862055046493,-0.10806982416178157,-0.10845022341795618,-0.12476135430509905
2025-02-19,-0.030059266968812004,-0.10752339588776594,-0.12282547769330321,-0.07608889813721542,-0.10141218620631343,-0.09698828244436797,-0.11046439554496423,-0.11055070385108368,-0.1252343618808195
2025-02-20,-0.033508105785926556,-0.10153430667545049,-0.12166473465186789,-0.07833887691104813,-0.1010569721303557,-0.0981325772079773,-0.11074417759786082,-0.11115026907964487,-0.12598771715026091
2025-02-21,-0.037937601579901115,-0.12067660533431368,-0.13493917246827414,-0.08782642107370997,-0.1143755793689577,-0.10633994682754244,-0.11942582721543016,-0.12007320392030285,-0.130460168053654
2025-02-24,-0.04021098185274441,-0.1223643910442771,-0.13473858626867996,-0.08958385950750425,-0.1145139349824793,-0.1107120441101428,-0.1252705140124425,-0.12576803814660298,-0.1397121634542532
2025-02-25,-0.041575297364442765,-0.1325167370104826,-0.13880193631451243,-0.09162242179308899,-0.1182668146265008,-0.11446209104295835,-0.13015384995359058,-0.1305484704096379,-0.1399333572630913
2025-02-27,-0.04375337835678861,-0.13479048193114618,-0.1415911400768327,-0.09370418032603356,-0.12081384912142168,-0.11623167084449038,-0.13171383728343544,-0.1319712317330699,-0.14002871868960298
2025-02-28,-0.0616495739326226,-0.14417809182124952,-0.15448863646177213,-0.10807745912549127,-0.13488977272770641,-0.13456678356200114,-0.1502267217772908,-0.15060288850404102,-0.15606284854415142
2025-03-03,-0.06272368032547582,-0.1419742252470403,-0.15374418133619505,-0.10833154024592373,-0.13450369789448258,-0.13447618573058695,-0.15002303709882148,-0.15036658250558566,-0.15626876962452485
2025-03-04,-0.06212322529345937,-0.1348390636106097,-0.14799544982792234,-0.10686484817166253,-0.1272719114091444,-0.13680307598604313,-0.15303011958649793,-0.15303687396716004,-0.15766678303740744
2025-03-05,-0.05598510633880005,-0.12313796173067393,-0.14102311602591033,-0.10121347210751863,-0.11943398001685446,-0.12541424220506658,-0.13963367006514227,-0.13996265008016417,-0.14795325323271513
2025-03-06,-0.0505484520671553,-0.12264890896906155,-0.13777271523464463,-0.09638376801549164,-0.11586977068639881,-0.118506035567987,-0.13216891708249345,-0.13357375763597512,-0.14004212889020606
2025-03-07,-0.05188446780925271,-0.1267732228292573,-0.14018139470330226,-0.09850143683884593,-0.11917469723365415,-0.11968525283171627,-0.1337435785567923,-0.1353189800670339,-0.13974457143904429
2025-03-10,-0.05181966711557684,-0.13248379188006298,-0.14350728495710574,-0.09852124790249839,-0.12312248556864658,-0.12381273410206106,-0.13983993563630526,-0.14094135678775055,-0.14326147104834552
2025-03-11,-0.050991039694294193,-0.1322635638188977,-0.14364856344617083,-0.0984615939109279,-0.12346305912930644,-0.12270213288777931,-0.13804664761154262,-0.13919724612467943,-0.14182725009383423
2025-03-12,-0.052841227222456766,-0.12710098494768995,-0.1405784064015808,-0.09853175544274984,-0.11876054906536437,-0.1257450860011332,-0.14102716109190694,-0.14234918724098766,-0.14287242622862395
2025-03-13,-0.052417414883530244,-0.12875206098480763,-0.1396262076942587,-0.09802883307754384,-0.11850124503298043,-0.12826957077772216,-0.14476729266690935,-0.14533242132568214,-0.14566845305438925
2025-03-17,-0.04510670132927619,-0.11988671593358668,-0.1320900238232552,-0.09121241592667728,-0.11040887852624615,-0.12306978927485035,-0.13956599064892938,-0.1402181685730306,-0.14141339640299677
2025-03-18,-0.04497112513634971,-0.11988671593358668,-0.1320900238232552,-0.09105453964695498,-0.11040887852624615,-0.12295906726988759,-0.13946761542349861,-0.1401241575104949,-0.12899540164221324
2025-03-19,-0.03065577667557895,-0.09744172124005623,-0.112050584528669,-0.07620650081090197,-0.08864808657058498,-0.10795822104283015,-0.12298772802889357,-0.12408234204293489,-0.12619944931756244
2025-03-20,-0.020326142920399914,-0.08957789371899827,-0.10224026032848843,-0.06654036454603007,-0.07833624474541345,-0.09626756270684533,-0.11083226684691361,-0.11278508386570796,-0.11540259880747561
2025-03-21,-0.01710402039004688,-0.08924450106051873,-0.10223057276306902,-0.06517344067345288,-0.07899713674838238,-0.09188734691300748,-0.10548886627772425,-0.10766907328119169,-0.1093090036533857
2025-03-24,-0.013926469448144019,-0.08873043282768334,-0.09983537531446374,-0.0621781832656908,-0.07801227825831047,-0.08512735428127283,-0.09668812407667515,-0.09922635130004065,-0.09756241293613521
2025-03-25,-0.015395936230492735,-0.08408293022624425,-0.09984477744605713,-0.06276315262096255,-0.07668550378152761,-0.08805533532781551,-0.10005267685034558,-0.10200405954870095,-0.09716949405846165
2025-03-26,-0.020921955238243584,-0.0863091698911107,-0.10068150630583161,-0.06674194651457344,-0.07716090704925416,-0.09385983398135511,-0.10640608034287458,-0.1081884171901184,-0.10410420679482946
2025-03-27,-0.017023235118822422,-0.07736671056940558,-0.09275358226893449,-0.06233450593141476,-0.06816903126172702,-0.0888693752291132,-0.10101168885045786,-0.10265960589200318,-0.1000952273245056
2025-03-28,-0.018101061717120892,-0.07908607833972447,-0.09210510148515993,-0.06286160365989257,-0.06796762660294864,-0.09136015619364912,-0.10398209929526925,-0.1057980775812909,-0.10286450825017901
2025-04-01,-0.020891620397577082,-0.09443782441254578,-0.10077807861118682,-0.06732142260485618,-0.07784360584412053,-0.09977513275142535,-0.11550078111307194,-0.11763749456847938,-0.11635435054472987
2025-04-02,-0.017776619388756743,-0.08861805674071666,-0.09362862877262867,-0.06230286003746954,-0.07062523387407782,-0.09327846982835208,-0.10757790342134665,-0.1097269377387885,-0.10999754295324515
2025-04-03,-0.018609954119881644,-0.10397553028785556,-0.0968531491636393,-0.06235886517982081,-0.07443546515218169,-0.09707653705461616,-0.11329791323137495,-0.11525280557066364,-0.11313493388547602
