Date,GOLDBEES,HDFCBANK,INDIGO,ITC,LT,NESTLEIND,ONGC,SUNPHARMA,TECHM,TITAN
2025-12-19,109.81999969482422,985.5,5153.5,392.8174743652344,4073.5,1237.7174072265625,227.53570556640625,1733.638671875,1612.5,3930.10009765625
2025-12-22,111.38999938964844,987.7000122070312,5145.5,394.4336242675781,4072.39990234375,1250.4486083984375,228.79605102539062,1758.3779296875,1646.699951171875,3933.800048828125
2025-12-23,113.0999984741211,996.5999755859375,5157.0,398.9881591796875,4058.800048828125,1249.75244140625,230.07594299316406,1744.567626953125,1633.0,3925.800048828125
2025-12-24,113.20999908447266,997.2000122070312,5081.5,398.2535705566406,4053.60009765625,1252.9351806640625,228.39547729492188,1725.7896728515625,1631.5,3909.300048828125
2025-12-26,114.30999755859375,992.0999755859375,5074.0,395.8538513183594,4047.300048828125,1265.7659912109375,229.13800048828125,1708.402587890625,1612.300048828125,3992.0
2025-12-29,113.02999877929688,991.7000122070312,5085.5,394.3356628417969,4038.699951171875,1273.126220703125,229.4213409423828,1706.1173095703125,1612.4000244140625,3983.699951171875
2025-12-30,111.16999816894531,990.9000244140625,5018.0,392.376708984375,4052.0,1267.2579345703125,229.2845458984375,1709.0980224609375,1604.5999755859375,3974.10009765625
2025-12-31,110.11000061035156,991.2000122070312,5059.5,394.7274475097656,4083.5,1281.083251953125,234.853515625,1708.6011962890625,1590.9000244140625,4051.5
2026-01-01,110.5199966430664,991.1500244140625,5110.5,356.381103515625,4140.39990234375,1288.045654296875,232.4696044921875,1709.9921875,1607.699951171875,4049.300048828125
2026-01-02,111.81999969482422,1001.5999755859375,5106.0,342.8643493652344,4163.39990234375,1272.8277587890625,235.90869140625,1716.84765625,1612.0,4051.699951171875
2026-01-05,112.91999816894531,977.5,5102.5,342.5215759277344,4150.39990234375,1307.5404052734375,232.61614990234375,1717.741943359375,1596.9000244140625,4079.699951171875
2026-01-06,113.13999938964844,962.2000122070312,5002.5,335.42041015625,4140.60009765625,1312.81201171875,236.32879638671875,1748.83984375,1601.800048828125,4111.7998046875
2026-01-07,112.91000366210938,949.0499877929688,4951.0,334.2450256347656,4157.0,1307.7393798828125,233.56385803222656,1771.0953369140625,1625.199951171875,4273.2001953125
